Chromosome,MSE
110000000000,3.582669258117676
110000000001,3.934903031587601
110000000010,3.975531965494156
110000000011,4.191530790925026
110000000100,4.242410445213318
110000000101,4.061046996712685
110000000110,3.8845918238162995
110000000111,3.605919083952904
110000001000,3.5304191440343855
110000001001,4.434914481639862
110000001010,4.246710842847824
110000001011,4.27018723487854
110000001100,3.933391609787941
110000001101,3.842934674024582
110000001110,3.46001982986927
110000001111,3.227472048997879
110000010000,3.810510501265526
110000010001,3.699323219060898
110000010010,4.131693172454834
110000010011,3.94998579621315
110000010100,4.03878844678402
110000010101,4.025603178143501
110000010110,3.515868139266968
110000010111,3.4769305258989336
110000011000,3.8019080102443694
110000011001,4.121687626838684
110000011010,4.549450102448463
110000011011,4.38250036239624
110000011100,4.113823395967484
110000011101,3.7360782086849214
110000011110,3.309900563955307
110000011111,3.491211637854576
110000100000,3.464367201924324
110000100001,3.7799143314361574
110000100010,3.883810967206955
110000100011,4.1049800157547
110000100100,4.073867228627205
110000100101,3.7521281778812408
110000100110,3.669232526421547
110000100111,3.311916062235832
110000101000,3.5702217876911164
110000101001,3.8471269071102143
110000101010,3.8091015607118606
110000101011,4.025749278068543
110000101100,4.181906697154045
110000101101,3.792717549204826
110000101110,3.351702755689621
110000101111,3.573767679929733
110000110000,3.472857964038849
110000110001,3.6046899527311327
110000110010,3.5291652411222456
110000110011,4.30773218870163
110000110100,4.207609575986862
110000110101,4.1499955534935
110000110110,4.80909478366375
110000110111,4.930016878247261
110000111000,2.9372641921043394
110000111001,3.469040122628212
110000111010,3.7206026911735535
110000111011,4.2432195246219635
110000111100,4.530042904615402
110000111101,5.039792168140411
110000111110,5.454245242476463
110000111111,6.689692395925522
110001000000,3.7182572036981583
110001000001,3.8931569516658784
110001000010,4.171758297085762
110001000011,4.156257170438766
110001000100,4.494103050231933
110001000101,4.187971550226211
110001000110,3.9326063096523285
110001000111,3.719351863861084
110001001000,4.522801640629768
110001001001,4.489925044775009
110001001010,3.994917541742325
110001001011,4.840113478899002
110001001100,4.029079848527909
110001001101,4.017732959985733
110001001110,3.5508335769176482
110001001111,3.3573019444942473
110001010000,3.907189980149269
110001010001,4.358908641338348
110001010010,4.142024606466293
110001010011,4.439338681101799
110001010100,4.175174561142922
110001010101,3.822442999482155
110001010110,3.4774896800518036
110001010111,3.409425249695778
110001011000,3.7664355516433714
110001011001,4.30551711320877
110001011010,4.110674127936363
110001011011,4.209965604543686
110001011100,3.9531267672777175
110001011101,3.676822045445442
110001011110,3.360790717601776
110001011111,3.1856598228216173
110001100000,3.6798871010541916
110001100001,4.039343416690826
110001100010,4.6578068971633915
110001100011,4.63738254904747
110001100100,4.071683359146118
110001100101,3.66399984061718
110001100110,3.680415266752243
110001100111,3.4026828438043593
110001101000,3.691088926792145
110001101001,3.904802453517914
110001101010,3.7651410341262816
110001101011,4.107544746994972
110001101100,4.070617204904556
110001101101,3.6986938923597337
110001101110,3.5391157060861587
110001101111,3.5817234963178635
110001110000,3.458622086048126
110001110001,3.620739158987999
110001110010,4.174674797058105
110001110011,4.591133105754852
110001110100,3.992329400777817
110001110101,4.6454030007123945
110001110110,4.758994707465172
110001110111,5.396522873640061
110001111000,2.944555926322937
110001111001,3.775896042585373
110001111010,3.7062265902757643
110001111011,4.266898769140243
110001111100,4.565950375795365
110001111101,5.254981780052185
110001111110,5.854406023025513
110001111111,6.565734398365021
110010000000,3.7508481055498124
110010000001,4.225708764791489
110010000010,3.893684071302414
110010000011,4.403954559564591
110010000100,3.703229454159737
110010000101,4.191387847065926
110010000110,4.139673373103141
110010000111,3.6962658405303954
110010001000,3.9232455044984818
110010001001,4.619807189702987
110010001010,4.67049765586853
110010001011,4.746606457233429
110010001100,3.9565101370215414
110010001101,4.133585169911385
110010001110,3.7266624182462693
110010001111,3.179611137509346
110010010000,4.379674690961838
110010010001,3.955112025141716
110010010010,4.257943466305733
110010010011,4.5899141192436215
110010010100,4.141966092586517
110010010101,3.852469673752785
110010010110,3.4394094169139864
110010010111,3.4516368925571443
110010011000,4.003686925768852
110010011001,4.0262675940990444
110010011010,4.242631089687348
110010011011,4.854485476016999
110010011100,4.243915289640427
110010011101,3.9877123832702637
110010011110,3.7600326150655747
110010011111,3.379384031891823
110010100000,3.747121176123619
110010100001,3.861270987987518
110010100010,4.189874476194381
110010100011,4.389848256111145
110010100100,3.7235558450222017
110010100101,3.673922023177147
110010100110,3.553855264186859
110010100111,3.528878688812256
110010101000,3.635170376300812
110010101001,4.374825468659401
110010101010,3.8452530920505525
110010101011,4.101402741670609
110010101100,3.9616667538881303
110010101101,3.851832515001297
110010101110,3.593295170366764
110010101111,3.1163973301649093
110010110000,6.202118766307831
110010110001,3.9969967156648636
110010110010,3.697430869936943
110010110011,4.305113279819489
110010110100,4.04146888256073
110010110101,4.643759644031524
110010110110,5.014145946502685
110010110111,5.0498751401901245
110010111000,3.2107283055782316
110010111001,3.556164935231209
110010111010,3.688323938846588
110010111011,4.655845436453819
110010111100,4.473965764045715
110010111101,4.9464167892932895
110010111110,5.1237149119377134
110010111111,6.679479253292084
110011000000,4.3816047489643095
110011000001,4.478800278902054
110011000010,4.9862518310546875
110011000011,4.6807536542415615
110011000100,5.279631423950195
110011000101,4.5871637403965
110011000110,4.812574487924576
110011000111,4.395286226272583
110011001000,4.668935757875443
110011001001,4.926503175497055
110011001010,4.571471637487411
110011001011,4.798326301574707
110011001100,4.558617803454399
110011001101,4.12125526368618
110011001110,4.105842471122742
110011001111,3.3182831943035125
110011010000,4.772388744354248
110011010001,4.907908499240875
110011010010,4.28769268989563
110011010011,4.2819995999336244
110011010100,4.421200823783875
110011010101,3.9515110909938813
110011010110,3.5518393367528915
110011010111,3.4959099501371385
110011011000,4.644151884317398
110011011001,4.5059374392032625
110011011010,4.80535586476326
110011011011,4.3739097774028775
110011011100,4.413442701101303
110011011101,4.035707196593284
110011011110,3.7846147775650025
110011011111,3.281569543480873
110011100000,4.562264603376389
110011100001,4.247293365001679
110011100010,4.472945284843445
110011100011,4.802508860826492
110011100100,4.091148453950882
110011100101,3.9382896214723586
110011100110,3.6662888318300246
110011100111,3.4303627520799638
110011101000,4.255412068963051
110011101001,4.446006092429161
110011101010,4.089837655425072
110011101011,4.300433880090713
110011101100,4.58007982969284
110011101101,4.1658119648695
110011101110,4.330213288962841
110011101111,3.844630354642868
110011110000,3.7605366110801697
110011110001,4.375290343165398
110011110010,3.932836276292801
110011110011,4.326792323589325
110011110100,4.428618389368057
110011110101,5.016761195659638
110011110110,4.650844860076904
110011110111,5.2340151309967045
110011111000,3.8302436858415603
110011111001,3.9782158583402634
110011111010,3.7231382757425306
110011111011,4.4090882509946825
110011111100,4.993630462884903
110011111101,5.4762555539608
110011111110,5.854622501134872
110011111111,6.79654107093811
110100000000,5.443641859292984
110100000001,5.18834336400032
110100000010,4.571697765588761
110100000011,4.722789013385773
110100000100,4.616056516766548
110100000101,4.927631503343582
110100000110,5.099131542444229
110100000111,4.423116520047188
110100001000,4.922155570983887
110100001001,4.772266042232514
110100001010,5.353177177906036
110100001011,5.234528213739395
110100001100,4.471752160787583
110100001101,4.62303260564804
110100001110,4.004392457008362
110100001111,3.752003899216652
110100010000,4.802161955833435
110100010001,4.923649615049362
110100010010,4.883211272954941
110100010011,5.1059792816638945
110100010100,4.9345288395881655
